source,id,id_raw,tier_raw,tier,seq,title,description
cis_csc_v7.1,cis_csc_v7.1:15.1,15.1,Sub-Control,1,113,Maintain an Inventory of Authorized Wireless Access Points,Maintain an inventory of authorized wireless access points connected to the wired network.
cis_csc_v7.1,cis_csc_v7.1:15.10,15.10,Sub-Control,1,114,Create Separate Wireless Network for Personal and Untrusted Devices,Create a separate wireless network for personal or untrusted devices. Enterprise access from this network should be treated as untrusted and filtered and audited accordingly.
cis_csc_v7.1,cis_csc_v7.1:15.2,15.2,Sub-Control,1,115,Detect Wireless Access Points Connected to the Wired Network,Configure network vulnerability scanning tools to detect and alert on unauthorized wireless access points connected to the wired network.
cis_csc_v7.1,cis_csc_v7.1:15.3,15.3,Sub-Control,1,116,Use a Wireless Intrusion Detection System,Use a wireless intrusion detection system (WIDS) to detect and alert on unauthorized wireless access points connected to the network.
cis_csc_v7.1,cis_csc_v7.1:15.4,15.4,Sub-Control,1,117,Disable Wireless Access on Devices if Not Required,Disable wireless access on devices that do not have a business purpose for wireless access.
cis_csc_v7.1,cis_csc_v7.1:15.5,15.5,Sub-Control,1,118,Limit Wireless Access on Client Devices,"Configure wireless access on client machines that do have an essential wireless business purpose, to allow access only to authorized wireless networks and to restrict access to other wireless networks."
cis_csc_v7.1,cis_csc_v7.1:15.6,15.6,Sub-Control,1,119,Disable Peer-to-Peer Wireless Network Capabilities on Wireless Clients,Disable peer-to-peer (ad hoc) wireless network capabilities on wireless clients.
cis_csc_v7.1,cis_csc_v7.1:15.7,15.7,Sub-Control,1,120,Leverage the Advanced Encryption Standard (AES) to Encrypt Wireless Data,Leverage the Advanced Encryption Standard (AES) to encrypt wireless data in transit.
cis_csc_v7.1,cis_csc_v7.1:15.8,15.8,Sub-Control,1,121,"Use Wireless Authentication Protocols That Require Mutual, Multi-Factor Authentication","Ensure that wireless networks use authentication protocols such as Extensible Authentication Protocol-Transport Layer Security (EAP/TLS), which requires mutual, multi-factor authentication."
cis_csc_v7.1,cis_csc_v7.1:15.9,15.9,Sub-Control,1,122,Disable Wireless Peripheral Access of Devices,"Disable wireless peripheral access of devices [such as Bluetooth and Near Field Communication (NFC)], unless such access is required for a business purpose."
cis_csc_v7.1,cis_csc_v7.1:16,16,Control,0,16,Account Monitoring and Control,"Actively manage the life cycle of system and application accounts - their creation, use, dormancy, deletion - in order to minimize opportunities for attackers to leverage them."
cis_csc_v7.1,cis_csc_v7.1:16.1,16.1,Sub-Control,1,123,Maintain an Inventory of Authentication Systems,"Maintain an inventory of each of the organization's authentication systems, including those located on-site or at a remote service provider."
cis_csc_v7.1,cis_csc_v7.1:16.10,16.10,Sub-Control,1,124,Ensure All Accounts Have An Expiration Date,Ensure that all accounts have an expiration date that is monitored and enforced.
cis_csc_v7.1,cis_csc_v7.1:16.11,16.11,Sub-Control,1,125,Lock Workstation Sessions After Inactivity,Automatically lock workstation sessions after a standard period of inactivity.
cis_csc_v7.1,cis_csc_v7.1:16.12,16.12,Sub-Control,1,126,Monitor Attempts to Access Deactivated Accounts,Monitor attempts to access deactivated accounts through audit logging.
cis_csc_v7.1,cis_csc_v7.1:16.13,16.13,Sub-Control,1,127,Alert on Account Login Behavior Deviation,"Alert when users deviate from normal login behavior, such as time-of-day, workstation location, and duration."
cis_csc_v7.1,cis_csc_v7.1:16.2,16.2,Sub-Control,1,128,Configure Centralized Point of Authentication,"Configure access for all accounts through as few centralized points of authentication as possible, including network, security, and cloud systems."
cis_csc_v7.1,cis_csc_v7.1:16.3,16.3,Sub-Control,1,129,Require Multi-Factor Authentication,"Require multi-factor authentication for all user accounts, on all systems, whether managed on-site or by a third-party provider."
cis_csc_v7.1,cis_csc_v7.1:16.4,16.4,Sub-Control,1,130,Encrypt or Hash all Authentication Credentials,Encrypt or hash with a salt all authentication credentials when stored.
cis_csc_v7.1,cis_csc_v7.1:16.5,16.5,Sub-Control,1,131,Encrypt Transmittal of Username and Authentication Credentials,Ensure that all account usernames and authentication credentials are transmitted across networks using encrypted channels.
cis_csc_v7.1,cis_csc_v7.1:16.6,16.6,Sub-Control,1,132,Maintain an Inventory of Accounts,Maintain an inventory of all accounts organized by authentication system.
cis_csc_v7.1,cis_csc_v7.1:16.7,16.7,Sub-Control,1,133,Establish Process for Revoking Access,"Establish and follow an automated process for revoking system access by disabling accounts immediately upon termination or change of responsibilities of an employee or contractor . Disabling these accounts, instead of deleting accounts, allows preservation of audit trails."
cis_csc_v7.1,cis_csc_v7.1:16.8,16.8,Sub-Control,1,134,Disable Any Unassociated Accounts,Disable any account that cannot be associated with a business process or business owner.
cis_csc_v7.1,cis_csc_v7.1:16.9,16.9,Sub-Control,1,135,Disable Dormant Accounts,Automatically disable dormant accounts after a set period of inactivity.
cis_csc_v7.1,cis_csc_v7.1:17,17,Control,0,17,Implement a Security Awareness and Training Program,"For all functional roles in the organization (prioritizing those mission-critical to the business and its security), identify the specific knowledge, skills, and abilities needed to support defense of the enterprise; develop and execute an integrated plan to assess, identify gaps, and remediate through policy, organizational planning, training, and awareness programs."
cis_csc_v7.1,cis_csc_v7.1:17.1,17.1,Sub-Control,1,136,Perform a Skills Gap Analysis,"Perform a skills gap analysis to understand the skills and behaviors workforce members are not adhering to, using this information to build a baseline education roadmap."
cis_csc_v7.1,cis_csc_v7.1:17.2,17.2,Sub-Control,1,137,Deliver Training to Fill the Skills Gap,Deliver training to address the skills gap identified to positively impact workforce members' security behavior.
cis_csc_v7.1,cis_csc_v7.1:17.3,17.3,Sub-Control,1,138,Implement a Security Awareness Program,Create a security awareness program for all workforce members to complete on a regular basis to ensure they understand and exhibit the necessary behaviors and skills to help ensure the security of the organization. The organization's security awareness program should be communicated in a continuous and engaging manner.
cis_csc_v7.1,cis_csc_v7.1:17.4,17.4,Sub-Control,1,139,Update Awareness Content Frequently,"Ensure that the organization's security awareness program is updated frequently (at least annually) to address new technologies, threats, standards, and business requirements."
cis_csc_v7.1,cis_csc_v7.1:17.5,17.5,Sub-Control,1,140,Train Workforce on Secure Authentication,Train workforce members on the importance of enabling and utilizing secure authentication.
cis_csc_v7.1,cis_csc_v7.1:17.6,17.6,Sub-Control,1,141,Train Workforce on Identifying Social Engineering Attacks,"Train the workforce on how to identify different forms of social engineering attacks, such as phishing, phone scams, and impersonation calls."
cis_csc_v7.1,cis_csc_v7.1:17.7,17.7,Sub-Control,1,142,Train Workforce on Sensitive Data Handling,"Train workforce members on how to identify and properly store, transfer, archive, and destroy sensitive information."
cis_csc_v7.1,cis_csc_v7.1:17.8,17.8,Sub-Control,1,143,Train Workforce on Causes of Unintentional Data Exposure,"Train workforce members to be aware of causes for unintentional data exposures, such as losing their mobile devices or emailing the wrong person due to autocomplete in email."
cis_csc_v7.1,cis_csc_v7.1:17.9,17.9,Sub-Control,1,144,Train Workforce Members on Identifying and Reporting Incidents,Train workforce members to be able to identify the most common indicators of an incident and be able to report such an incident.
cis_csc_v7.1,cis_csc_v7.1:18,18,Control,0,18,Application Software Security,"Manage the security life cycle of all in-house developed and acquired software in order to prevent, detect, and correct security weaknesses."
cis_csc_v7.1,cis_csc_v7.1:18.1,18.1,Sub-Control,1,145,Establish Secure Coding Practices,Establish secure coding practices appropriate to the programming language and development environment being used.
cis_csc_v7.1,cis_csc_v7.1:18.10,18.10,Sub-Control,1,146,Deploy Web Application Firewalls,"Protect web applications by deploying web application firewalls (WAFs) that inspect all traffic flowing to the web application for common web application attacks. For applications that are not web-based, specific application firewalls should be deployed if such tools are available for the given application type. If the traffic is encrypted, the device should either sit behind the encryption or be capable of decrypting the traffic prior to analysis. If neither option is appropriate, a host-based web application firewall should be deployed."
cis_csc_v7.1,cis_csc_v7.1:18.11,18.11,Sub-Control,1,147,Use Standard Hardening Configuration Templates for Databases,"For applications that rely on a database, use standard hardening configuration templates. All systems that are part of critical business processes should also be tested."
cis_csc_v7.1,cis_csc_v7.1:18.2,18.2,Sub-Control,1,148,Ensure That Explicit Error Checking is Performed for All In-House Developed Software,"For in-house developed software, ensure that explicit error checking is performed and documented for all input, including for size, data type, and acceptable ranges or formats."
cis_csc_v7.1,cis_csc_v7.1:18.3,18.3,Sub-Control,1,149,Verify That Acquired Software is Still Supported,Verify that the version of all software acquired from outside your organization is still supported by the developer or appropriately hardened based on developer security recommendations.
cis_csc_v7.1,cis_csc_v7.1:18.4,18.4,Sub-Control,1,150,Only Use Up-to-Date and Trusted Third-Party Components,Only use up-to-date and trusted third-party components for the software developed by the organization.
cis_csc_v7.1,cis_csc_v7.1:18.5,18.5,Sub-Control,1,151,Use Only Standardized and Extensively Reviewed Encryption Algorithms,"Use only standardized, currently accepted, and extensively reviewed encryption algorithms."
cis_csc_v7.1,cis_csc_v7.1:18.6,18.6,Sub-Control,1,152,Ensure Software Development Personnel are Trained in Secure Coding,Ensure that all software development personnel receive training in writing secure code for their specific development environment and responsibilities.
cis_csc_v7.1,cis_csc_v7.1:18.7,18.7,Sub-Control,1,153,Apply Static and Dynamic Code Analysis Tools,Apply static and dynamic analysis tools to verify that secure coding practices are being adhered to for internally developed software.
cis_csc_v7.1,cis_csc_v7.1:18.8,18.8,Sub-Control,1,154,Establish a Process to Accept and Address Reports of Software Vulnerabilities,"Establish a process to accept and address reports of software vulnerabilities, including providing a means for external entities to contact your security group."
cis_csc_v7.1,cis_csc_v7.1:18.9,18.9,Sub-Control,1,155,Separate Production and Non-Production Systems,Maintain separate environments for production and non-production systems. Developers should not have unmonitored access to production environments.
cis_csc_v7.1,cis_csc_v7.1:19,19,Control,0,19,Incident Response and Management,"Protect the organization's information, as well as its reputation, by developing and implementing an incident response infrastructure (e.g., plans, defined roles, training, communications, management oversight) for quickly discovering an attack and then effectively containing the damage, eradicating the attacker's presence, and restoring the integrity of the network and systems."
cis_csc_v7.1,cis_csc_v7.1:19.1,19.1,Sub-Control,1,156,Document Incident Response Procedures,Ensure that there are written incident response plans that define roles of personnel as well as phases of incident handling/management.
cis_csc_v7.1,cis_csc_v7.1:19.2,19.2,Sub-Control,1,157,Assign Job Titles and Duties for Incident Response,"Assign job titles and duties for handling computer and network incidents to specific individuals, and ensure tracking and documentation throughout the incident through resolution."
cis_csc_v7.1,cis_csc_v7.1:19.3,19.3,Sub-Control,1,158,Designate Management Personnel to Support Incident Handling,"Designate management personnel, as well as backups, who will support the incident handling process by acting in key decision-making roles."
cis_csc_v7.1,cis_csc_v7.1:19.4,19.4,Sub-Control,1,159,Devise Organization-wide Standards for Reporting Incidents,"Devise organization-wide standards for the time required for system administrators and other workforce members to report anomalous events to the incident handling team, the mechanisms for such reporting, and the kind of information that should be included in the incident notification."
cis_csc_v7.1,cis_csc_v7.1:19.5,19.5,Sub-Control,1,160,Maintain Contact Information For Reporting Security Incidents,"Assemble and maintain information on third-party contact information to be used to report a security incident, such as Law Enforcement, relevant government departments, vendors, and Information Sharing and Analysis Center (ISAC) partners."
cis_csc_v7.1,cis_csc_v7.1:19.6,19.6,Sub-Control,1,161,Publish Information Regarding Reporting Computer Anomalies and Incidents,"Publish information for all workforce members, regarding reporting computer anomalies and incidents, to the incident handling team. Such information should be included in routine employee awareness activities."
cis_csc_v7.1,cis_csc_v7.1:19.7,19.7,Sub-Control,1,162,Conduct Periodic Incident Scenario Sessions for Personnel,"Plan and conduct routine incident, response exercises and scenarios for the workforce involved in the incident response to maintain awareness and comfort in responding to real-world threats. Exercises should test communication channels, decision making, and incident responders technical capabilities using tools and data available to them."
cis_csc_v7.1,cis_csc_v7.1:19.8,19.8,Sub-Control,1,163,Create Incident Scoring and Prioritization Schema,Create incident scoring and prioritization schema based on known or potential impact to your organization. Utilize score to define frequency of status updates and escalation procedures.
cis_csc_v7.1,cis_csc_v7.1:2,2,Control,0,2,Inventory and Control of Software Assets,"Actively manage (inventory, track, and correct) all software on the network so that only authorized software is installed and can execute, and that unauthorized and unmanaged software is found and prevented from installation or execution."
cis_csc_v7.1,cis_csc_v7.1:2.1,2.1,Sub-Control,1,9,Maintain Inventory of Authorized Software,Maintain an up-to-date list of all authorized software that is required in the enterprise for any business purpose on any business system.
cis_csc_v7.1,cis_csc_v7.1:2.10,2.10,Sub-Control,1,10,Physically or Logically Segregate High Risk Applications,Physically or logically segregated systems should be used to isolate and run software that is required for business operations but incurs higher risk for the organization.
cis_csc_v7.1,cis_csc_v7.1:2.2,2.2,Sub-Control,1,11,Ensure Software is Supported by Vendor,Ensure that only software applications or operating systems currently supported and receiving vendor updates are added to the organization's authorized software inventory. Unsupported software should be tagged as unsupported in the inventory system.
cis_csc_v7.1,cis_csc_v7.1:2.3,2.3,Sub-Control,1,12,Utilize Software Inventory Tools,Utilize software inventory tools throughout the organization to automate the documentation of all software on business systems.
cis_csc_v7.1,cis_csc_v7.1:2.4,2.4,Sub-Control,1,13,Track Software Inventory Information,"The software inventory system should track the name, version, publisher, and install date for all software, including operating systems authorized by the organization."
cis_csc_v7.1,cis_csc_v7.1:2.5,2.5,Sub-Control,1,14,Integrate Software and Hardware Asset Inventories,The software inventory system should be tied into the hardware asset inventory so all devices and associated software are tracked from a single location.
cis_csc_v7.1,cis_csc_v7.1:2.6,2.6,Sub-Control,1,15,Address unapproved software,Ensure that unauthorized software is either removed or the inventory is updated in a timely manner
cis_csc_v7.1,cis_csc_v7.1:2.7,2.7,Sub-Control,1,16,Utilize Application Whitelisting,Utilize application whitelisting technology on all assets to ensure that only authorized software executes and all unauthorized software is blocked from executing on assets.
cis_csc_v7.1,cis_csc_v7.1:2.8,2.8,Sub-Control,1,17,Implement Application Whitelisting of Libraries,"The organization's application whitelisting software must ensure that only authorized software libraries (such as *.dll, *.ocx, *.so, etc.) are allowed to load into a system process."
cis_csc_v7.1,cis_csc_v7.1:2.9,2.9,Sub-Control,1,18,Implement Application Whitelisting of Scripts,"The organization's application whitelisting software must ensure that only authorized, digitally signed scripts (such as *.ps1, *.py, macros, etc.) are allowed to run on a system."
cis_csc_v7.1,cis_csc_v7.1:20,20,Control,0,20,Penetration Tests and Red Team Exercises,"Test the overall strength of an organization's defense (the technology, the processes, and the people) by simulating the objectives and actions of an attacker."
cis_csc_v7.1,cis_csc_v7.1:20.1,20.1,Sub-Control,1,164,Establish a Penetration Testing Program,"Establish a program for penetration tests that includes a full scope of blended attacks, such as wireless, client-based, and web application attacks."
cis_csc_v7.1,cis_csc_v7.1:20.2,20.2,Sub-Control,1,165,Conduct Regular External and Internal Penetration Tests,Conduct regular external and internal penetration tests to identify vulnerabilities and attack vectors that can be used to exploit enterprise systems successfully.
cis_csc_v7.1,cis_csc_v7.1:20.3,20.3,Sub-Control,1,166,Perform Periodic Red Team Exercises,Perform periodic Red Team exercises to test organizational readiness to identify and stop attacks or to respond quickly and effectively.
cis_csc_v7.1,cis_csc_v7.1:20.4,20.4,Sub-Control,1,167,Include Tests for Presence of Unprotected System Information and Artifacts,"Include tests for the presence of unprotected system information and artifacts that would be useful to attackers, including network diagrams, configuration files, older penetration test reports, e-mails or documents containing passwords or other information critical to system operation."
cis_csc_v7.1,cis_csc_v7.1:20.5,20.5,Sub-Control,1,168,Create Test Bed for Elements Not Typically Tested in Production,"Create a test bed that mimics a production environment for specific penetration tests and Red Team attacks against elements that are not typically tested in production, such as attacks against supervisory control and data acquisition and other control systems."
cis_csc_v7.1,cis_csc_v7.1:20.6,20.6,Sub-Control,1,169,Use Vulnerability Scanning and Penetration Testing Tools in Concert,Use vulnerability scanning and penetration testing tools in concert. The results of vulnerability scanning assessments should be used as a starting point to guide and focus penetration testing efforts.
